Part Name,Qty.,Cost (per part/batch) in PLN,Cost (total) in PLN,Link
nrf52840 microcontroller,1,"15,89zł","14,79zł",https://pl.aliexpress.com/item/1005009516681283.html
Seeed 106990290 (lipo charger),1,"29,29zł","29,29zł",https://pl.aliexpress.com/item/4000572310671.html
1N4148 Diodes,9,"4,79zł","4,79zł",https://pl.aliexpress.com/item/1005006245109375.html
Cherry MX switches,8,"9,07zł","9,07zł",https://pl.aliexpress.com/item/1005010462521108.html
EC11E Rotary Encoder w/ switch,1,"12,59zł","12,59zł",https://pl.aliexpress.com/item/1005005983134515.html
Li-Po Battery 5000mah,1,"30,69zł","30,69zł",https://pl.aliexpress.com/item/1005010088690191.html
JST PH 2.0mm connector,1,"6,03zł","6,03zł",https://pl.aliexpress.com/item/1005004955655144.html
Keycaps,8,"15,50zł","15,50zł",https://pl.aliexpress.com/item/1005002906017844.html
Neodymium magnets 4x2mm,16,"9,06zł","9,06zł",https://pl.aliexpress.com/item/1005010075244557.html
ALL PRICES IN PLN!!!,,Total cost is →,"131,81zł",
Note:,,,,
Things that are usually bought in bulk (diodes switches etc.) come in packs of for example 50 even if you only need 5,,,,
